time,kinetic_energy_pp,potential_energy_pp,total_energy_pp,temperature,velo_autocor,diffusion_coef
0.0295,1.44606,-0.17072,1.27534,0.964043,1.63384,5.44632e-05
0.0296,1.44537,-0.170023,1.27534,0.963578,1.63344,5.44499e-05
0.0297,1.44467,-0.169321,1.27534,0.963111,1.63304,5.44365e-05
0.0298,1.44396,-0.168615,1.27534,0.96264,1.63263,5.4423e-05
0.0299,1.44325,-0.167905,1.27534,0.962166,1.63223,5.44094e-05
0.03,1.44253,-0.16719,1.27534,0.96169,1.63182,5.43957e-05
0.0301,1.44182,-0.166471,1.27534,0.96121,1.6314,5.43819e-05
0.0302,1.44109,-0.165747,1.27534,0.960727,1.63099,5.43681e-05
0.0303,1.44036,-0.165018,1.27534,0.960242,1.63057,5.43541e-05
0.0304,1.43963,-0.164285,1.27534,0.959753,1.63015,5.434e-05
0.0305,1.43889,-0.163548,1.27534,0.959261,1.62972,5.43259e-05
0.0306,1.43815,-0.162806,1.27534,0.958767,1.6293,5.43117e-05
0.0307,1.4374,-0.162059,1.27534,0.958269,1.62887,5.42973e-05
0.0308,1.43665,-0.161308,1.27534,0.957768,1.62843,5.42829e-05
0.0309,1.4359,-0.160552,1.27534,0.957264,1.628,5.42684e-05
0.031,1.43514,-0.159792,1.27534,0.956757,1.62756,5.42538e-05
0.0311,1.43437,-0.159027,1.27534,0.956248,1.62712,5.42391e-05
0.0312,1.4336,-0.158257,1.27534,0.955734,1.62667,5.42243e-05
0.0313,1.43283,-0.157483,1.27534,0.955218,1.62623,5.42094e-05
0.0314,1.43205,-0.156704,1.27534,0.954699,1.62578,5.41944e-05
0.0315,1.43127,-0.155921,1.27534,0.954177,1.62533,5.41793e-05
0.0316,1.43048,-0.155133,1.27534,0.953651,1.62487,5.41641e-05
0.0317,1.42968,-0.15434,1.27534,0.953123,1.62441,5.41489e-05
0.0318,1.42889,-0.153542,1.27534,0.952591,1.62395,5.41335e-05
0.0319,1.42808,-0.15274,1.27534,0.952056,1.62349,5.4118e-05
0.032,1.42728,-0.151933,1.27534,0.951519,1.62302,5.41025e-05
0.0321,1.42647,-0.151122,1.27534,0.950977,1.62255,5.40868e-05
0.0322,1.42565,-0.150306,1.27534,0.950433,1.62208,5.4071e-05
0.0323,1.42483,-0.149484,1.27534,0.949886,1.6216,5.40552e-05
0.0324,1.424,-0.148659,1.27534,0.949335,1.62112,5.40392e-05
0.0325,1.42317,-0.147828,1.27534,0.948782,1.62064,5.40232e-05
0.0326,1.42234,-0.146993,1.27534,0.948225,1.62016,5.4007e-05
0.0327,1.4215,-0.146153,1.27534,0.947665,1.61967,5.39907e-05
0.0328,1.42065,-0.145308,1.27534,0.947101,1.61918,5.39744e-05
0.0329,1.4198,-0.144458,1.27534,0.946535,1.61868,5.39579e-05
0.033,1.41895,-0.143604,1.27534,0.945965,1.61819,5.39414e-05
0.0331,1.41809,-0.142744,1.27534,0.945393,1.61769,5.39247e-05
0.0332,1.41722,-0.14188,1.27534,0.944816,1.61719,5.3908e-05
0.0333,1.41636,-0.141011,1.27534,0.944237,1.61668,5.38911e-05
0.0334,1.41548,-0.140138,1.27534,0.943655,1.61617,5.38742e-05
0.0335,1.4146,-0.139259,1.27534,0.943069,1.61566,5.38571e-05
0.0336,1.41372,-0.138375,1.27534,0.94248,1.61514,5.38399e-05
0.0337,1.41283,-0.137487,1.27534,0.941887,1.61463,5.38227e-05
0.0338,1.41194,-0.136593,1.27534,0.941292,1.6141,5.38053e-05
0.0339,1.41104,-0.135695,1.27534,0.940693,1.61358,5.37878e-05
0.034,1.41014,-0.134792,1.27534,0.940091,1.61305,5.37702e-05
0.0341,1.40923,-0.133884,1.27534,0.939486,1.61252,5.37525e-05
0.0342,1.40832,-0.132971,1.27534,0.938877,1.61199,5.37348e-05
0.0343,1.4074,-0.132053,1.27534,0.938265,1.61145,5.37169e-05
0.0344,1.40647,-0.13113,1.27534,0.93765,1.61091,5.36989e-05
0.0345,1.40555,-0.130202,1.27534,0.937031,1.61037,5.36808e-05
0.0346,1.40461,-0.129269,1.27534,0.936409,1.60982,5.36626e-05
0.0347,1.40368,-0.128332,1.27534,0.935784,1.60927,5.36442e-05
0.0348,1.40273,-0.127389,1.27534,0.935155,1.60872,5.36258e-05
0.0349,1.40179,-0.126441,1.27534,0.934524,1.60816,5.36073e-05
0.035,1.40083,-0.125488,1.27534,0.933888,1.60761,5.35886e-05
0.0351,1.39987,-0.12453,1.27534,0.93325,1.60704,5.35699e-05
